N bead  	Mean    	Std     	Seed    	FracP   
29.0000	7.1135	0.0793	-2460.0000	0.0040
29.0000	7.3346	0.1872	-8322.0000	0.0040
29.0000	7.6262	0.1704	-6104.0000	0.0040
30.0000	7.1919	0.1473	-8349.0000	0.0040
30.0000	6.7046	0.0817	-8935.0000	0.0040
30.0000	7.0887	0.2204	-2460.0000	0.0040
30.0000	6.6604	0.1998	-8322.0000	0.0040
30.0000	7.1388	0.2063	-6104.0000	0.0040
31.0000	6.8991	0.0999	-8349.0000	0.0040
31.0000	7.5455	0.0761	-8935.0000	0.0040
31.0000	6.9338	0.1439	-2460.0000	0.0040
31.0000	7.1207	0.2360	-8322.0000	0.0040
31.0000	7.1836	0.1162	-6104.0000	0.0040
32.0000	7.2273	0.1277	-8349.0000	0.0040
32.0000	7.4816	0.1447	-8935.0000	0.0040
32.0000	7.5031	0.1562	-2460.0000	0.0040
32.0000	6.7650	0.1226	-8322.0000	0.0040
32.0000	7.6941	0.1239	-6104.0000	0.0040
33.0000	6.6835	0.1695	-8349.0000	0.0040
33.0000	7.0713	0.1135	-8935.0000	0.0040
33.0000	7.2244	0.2121	-2460.0000	0.0040
33.0000	7.2076	0.0968	-8322.0000	0.0040
33.0000	7.4345	0.0761	-6104.0000	0.0040
34.0000	7.1062	0.1279	-8349.0000	0.0040
34.0000	7.0827	0.2577	-8935.0000	0.0040
34.0000	7.6998	0.1789	-2460.0000	0.0040
34.0000	7.4561	0.1673	-8322.0000	0.0040
34.0000	7.0890	0.1351	-6104.0000	0.0040
35.0000	7.1612	0.2550	-8349.0000	0.0040
35.0000	7.4334	0.1373	-8935.0000	0.0040
35.0000	6.9018	0.1027	-2460.0000	0.0040
35.0000	6.6430	0.1097	-8322.0000	0.0040
35.0000	7.3904	0.1575	-6104.0000	0.0040
36.0000	7.5754	0.1362	-8349.0000	0.0040
36.0000	7.3621	0.1447	-8935.0000	0.0040
36.0000	7.1645	0.3337	-2460.0000	0.0040
36.0000	6.7475	0.1488	-8322.0000	0.0040
36.0000	7.0667	0.2046	-6104.0000	0.0040
37.0000	7.2854	0.1463	-8349.0000	0.0040
37.0000	7.0966	0.1415	-8935.0000	0.0040
37.0000	6.9016	0.1227	-2460.0000	0.0040
37.0000	7.4286	0.0744	-8322.0000	0.0040
37.0000	6.8692	0.1490	-6104.0000	0.0040
38.0000	7.4277	0.0693	-8349.0000	0.0040
38.0000	7.2117	0.1799	-8935.0000	0.0040
38.0000	6.8228	0.0930	-2460.0000	0.0040
38.0000	7.4183	0.0730	-8322.0000	0.0040
38.0000	7.0310	0.0960	-6104.0000	0.0040
39.0000	6.9613	0.2517	-8349.0000	0.0040
39.0000	7.5974	0.0691	-8935.0000	0.0040
39.0000	6.8697	0.1081	-2460.0000	0.0040
39.0000	7.4751	0.1678	-8322.0000	0.0040
39.0000	7.5035	0.1818	-6104.0000	0.0040
40.0000	7.4160	0.1850	-8349.0000	0.0040
40.0000	7.0874	0.1078	-8935.0000	0.0040
40.0000	7.4896	0.0925	-2460.0000	0.0040
40.0000	7.1920	0.1548	-8322.0000	0.0040
40.0000	7.6938	0.1637	-6104.0000	0.0040
41.0000	6.8339	0.1642	-8349.0000	0.0040
41.0000	7.0940	0.0830	-8935.0000	0.0040
41.0000	7.0144	0.1152	-2460.0000	0.0040
41.0000	6.9863	0.1548	-8322.0000	0.0040
41.0000	6.6056	0.1444	-6104.0000	0.0040
42.0000	6.6519	0.1097	-8349.0000	0.0040
42.0000	7.5994	0.1483	-8935.0000	0.0040
42.0000	6.6911	0.1672	-2460.0000	0.0040
42.0000	7.3423	0.1074	-8322.0000	0.0040
42.0000	7.8377	0.1647	-6104.0000	0.0040
